Empresa;Agência;Modalidade;Estoque;Cliente;Asset;Emissão;Código;Taxa(%);;Custódia;Swap;PU;Qtde;Vlr. Ida;Vlr.Curva;Vlr.Vencto;Vlr.IRF;Vlr.IOF;Vlr.Líquido;Vencto;Índice(%);Código ISIN;Cond. Resgate;Data Liquidez
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066083 - 1000000;000013242 - AGORA CTVM S A;;02/03/2023;"=""CDB123K6B1U""";0,0000;SOVE;CETIP21;N;1.018,291667;30,00;30.000,00;30.548,75;30.548,75;0,00;0,00;30.548,75;05/03/2024;105,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066105 - 1000000;000013242 - AGORA CTVM S A;;09/03/2023;"=""CDB123NCMJM""";0,0000;SOVE;CETIP21;N;1.016,179000;20,00;20.000,00;20.323,58;20.323,58;0,00;0,00;20.323,58;10/03/2026;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066135 - 1000000;000013242 - AGORA CTVM S A;;20/03/2023;"=""CDB123QGSI5""";0,0000;SOVE;CETIP21;N;1.012,476000;50,00;50.000,00;50.623,80;50.623,80;0,00;0,00;50.623,80;23/03/2026;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066137 - 1000000;000013242 - AGORA CTVM S A;;20/03/2023;"=""CDB123QGSIE""";0,0000;SOVE;CETIP21;N;1.012,193333;30,00;30.000,00;30.365,80;30.365,80;0,00;0,00;30.365,80;23/09/2024;108,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066035 - 1000000;000013242 - AGORA CTVM S A;;10/02/2023;"=""CDB123E3JRE""";0,0000;SOVE;CETIP21;N;1.025,545200;25,00;25.000,00;25.638,63;25.638,63;0,00;0,00;25.638,63;11/02/2025;108,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066037 - 1000000;000013242 - AGORA CTVM S A;;13/02/2023;"=""CDB123EIOYA""";0,0000;SOVE;CETIP21;N;1.025,216000;5,00;5.000,00;5.126,08;5.126,08;0,00;0,00;5.126,08;18/02/2026;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066042 - 1000000;000013242 - AGORA CTVM S A;;14/02/2023;"=""CDB123EZFR0""";0,0000;SOVE;CETIP21;N;1.024,192500;28,00;28.000,00;28.677,39;28.677,39;0,00;0,00;28.677,39;15/08/2024;107,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066051 - 1000000;000013242 - AGORA CTVM S A;;17/02/2023;"=""CDB123GD1WU""";0,0000;SOVE;CETIP21;N;1.022,950000;15,00;15.000,00;15.344,25;15.344,25;0,00;0,00;15.344,25;18/02/2026;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065973 - 1000000;000013242 - AGORA CTVM S A;;01/02/2023;"=""CDB123A06JD""";0,0000;SOVE;CETIP21;N;1.029,766000;5,00;5.000,00;5.148,83;5.148,83;0,00;0,00;5.148,83;01/08/2024;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066005 - 1000000;000013242 - AGORA CTVM S A;;06/02/2023;"=""CDB123BVA3G""";0,0000;SOVE;CETIP21;N;1.028,580000;45,00;45.000,00;46.286,10;46.286,10;0,00;0,00;46.286,10;09/02/2026;111,00;"=""""";N;
